TT,C0,beta,ETF,FC,FRAC,K2
1.085572069817539731e+00,7.423238095743141862e+00,1.285942367810162690e+00,1.916124465279381017e-01,2.938888908984424120e+02,4.822709013903718200e-01,2.084915663002348193e-02
1.085572069817539731e+00,7.423238095743141862e+00,1.285942367810162690e+00,1.916124465279381017e-01,2.938888908984424120e+02,4.822709013903718200e-01,2.084915663002348193e-02
1.085572069817539731e+00,7.423238095743141862e+00,1.285942367810162690e+00,1.916124465279381017e-01,2.938888908984424120e+02,4.822709013903718200e-01,2.084915663002348193e-02
3.292389513515066479e+00,5.154585281658434326e+00,1.494427493825468023e+00,1.254854209758342609e-01,2.911887610818521921e+02,4.066588280178087267e-01,1.410731494349744784e-02
3.292389513515066479e+00,5.154585281658434326e+00,1.494427493825468023e+00,1.254854209758342609e-01,2.911887610818521921e+02,4.066588280178087267e-01,1.410731494349744784e-02
3.292389513515066479e+00,5.154585281658434326e+00,1.494427493825468023e+00,1.254854209758342609e-01,2.911887610818521921e+02,4.066588280178087267e-01,1.410731494349744784e-02
9.442146027214212145e-01,6.213128984417727096e+00,1.327576919715032000e+00,1.815572068681298168e-01,2.667964024741041840e+02,5.509686190324104560e-01,2.708869177836286182e-02
2.841784102992434669e+00,7.977842008459075984e+00,1.209775626225957579e+00,4.655096257924726810e-01,2.050561496149001357e+02,6.628279104785729237e-01,2.226994738438464044e-02
2.125823919535817730e+00,6.358419763803218494e+00,1.495364538000592880e+00,3.318673235991456694e-01,3.027794465868945508e+02,7.005193638190692074e-01,3.026907586392319285e-02
1.340904901759365053e+00,5.023964449980142355e+00,1.676510063221650526e+00,4.858826870253368790e-01,3.286573007509433069e+02,5.994038612879977190e-01,2.696038409583680073e-02
1.256623624772439829e+00,5.664196572503680471e+00,1.623189154689548497e+00,2.038278846348675344e-01,1.874416230137953221e+02,6.669331276239893747e-01,2.448158543519681971e-02
1.652016604553345314e+00,4.015784834702627926e+00,1.438076795208630632e+00,1.674488974027983357e-01,1.682597309832734993e+02,6.872387314892574040e-01,1.353575310164820827e-02
1.652016604553345314e+00,4.015784834702627926e+00,1.438076795208630632e+00,1.674488974027983357e-01,1.682597309832734993e+02,6.872387314892574040e-01,1.353575310164820827e-02
3.244660534444714806e+00,2.426233027555990240e+00,1.480530120219538226e+00,5.100439725776362981e-02,2.048230520619636081e+02,5.279288086088537169e-01,1.868316235497832420e-02
3.244660534444714806e+00,2.426233027555990240e+00,1.480530120219538226e+00,5.100439725776362981e-02,2.048230520619636081e+02,5.279288086088537169e-01,1.868316235497832420e-02
3.244660534444714806e+00,2.426233027555990240e+00,1.480530120219538226e+00,5.100439725776362981e-02,2.048230520619636081e+02,5.279288086088537169e-01,1.868316235497832420e-02
3.244660534444714806e+00,2.426233027555990240e+00,1.480530120219538226e+00,5.100439725776362981e-02,2.048230520619636081e+02,5.279288086088537169e-01,1.868316235497832420e-02
3.244660534444714806e+00,2.426233027555990240e+00,1.480530120219538226e+00,5.100439725776362981e-02,2.048230520619636081e+02,5.279288086088537169e-01,1.868316235497832420e-02
2.003890538050464354e+00,3.921798549331018346e+00,1.161162382320964248e+00,1.840754954677238653e-01,2.037466370229676329e+02,6.173468929510687042e-01,2.705802106628809808e-02
3.853283708176561628e+00,3.494510220144879220e+00,1.523768585865144853e+00,2.230802047399575716e-01,2.664614744183494963e+02,8.069196373984371951e-01,1.631154111547178376e-02
3.559595287273537245e+00,3.498019918423634689e+00,1.203390071964588692e+00,2.583468519539596775e-01,3.367075996775676572e+02,7.792046954024737238e-01,1.956888894324042283e-02
3.632913970998176811e+00,2.829264228258654867e+00,1.094394350273226957e+00,3.430822763538462494e-01,4.053435479349498678e+02,7.043412085224364239e-01,1.092726971375197059e-02
2.456049828568225735e+00,4.312367568757242253e+00,1.196600560476398512e+00,2.638746418739732480e-01,3.346566493554176418e+02,7.689118317769702005e-01,1.254869229570421477e-02
1.898091137943916262e+00,4.953333973208319918e+00,1.479626989737233611e+00,1.980976998035571257e-01,1.655309205134370529e+02,7.944393046026025917e-01,1.924529163442341081e-02
3.116906870981990707e+00,6.378111616451020538e+00,1.684699793507686838e+00,4.140208583555211180e-02,1.792461804209352181e+02,8.942738742638514093e-01,2.047111416960071054e-02
3.116906870981990707e+00,6.378111616451020538e+00,1.684699793507686838e+00,4.140208583555211180e-02,1.792461804209352181e+02,8.942738742638514093e-01,2.047111416960071054e-02
3.555920803353908699e+00,6.354245279680475811e+00,2.320917303551502719e+00,1.643204177622609868e-02,1.119927344046322446e+02,8.037822139993876513e-01,2.242840399507293678e-02
3.555920803353908699e+00,6.354245279680475811e+00,2.320917303551502719e+00,1.643204177622609868e-02,1.119927344046322446e+02,8.037822139993876513e-01,2.242840399507293678e-02
3.555920803353908699e+00,6.354245279680475811e+00,2.320917303551502719e+00,1.643204177622609868e-02,1.119927344046322446e+02,8.037822139993876513e-01,2.242840399507293678e-02
3.555920803353908699e+00,6.354245279680475811e+00,2.320917303551502719e+00,1.643204177622609868e-02,1.119927344046322446e+02,8.037822139993876513e-01,2.242840399507293678e-02
3.029631064083912140e+00,1.166329320193902452e+00,2.118659735690703094e+00,8.799698910240516536e-03,1.789458923697881119e+02,8.830299380836343914e-01,1.752590245651787851e-02
3.029631064083912140e+00,1.166329320193902452e+00,2.118659735690703094e+00,8.799698910240516536e-03,1.789458923697881119e+02,8.830299380836343914e-01,1.752590245651787851e-02
3.029631064083912140e+00,1.166329320193902452e+00,2.118659735690703094e+00,8.799698910240516536e-03,1.789458923697881119e+02,8.830299380836343914e-01,1.752590245651787851e-02
3.029631064083912140e+00,1.166329320193902452e+00,2.118659735690703094e+00,8.799698910240516536e-03,1.789458923697881119e+02,8.830299380836343914e-01,1.752590245651787851e-02
3.993111289360780525e+00,2.437398104886604688e+00,1.618785925570652706e+00,1.996255194523820498e-01,2.229005283671741040e+02,8.989699856239564690e-01,1.444003946498203551e-02
2.702317907425002108e+00,1.596187292945266734e+00,1.430122422927829318e+00,1.200682742150659676e-01,2.809018427550909678e+02,8.552328257572034964e-01,1.534176060079123043e-02
2.702317907425002108e+00,1.596187292945266734e+00,1.430122422927829318e+00,1.200682742150659676e-01,2.809018427550909678e+02,8.552328257572034964e-01,1.534176060079123043e-02
2.702317907425002108e+00,1.596187292945266734e+00,1.430122422927829318e+00,1.200682742150659676e-01,2.809018427550909678e+02,8.552328257572034964e-01,1.534176060079123043e-02
2.266400557266968097e+00,9.267676402602728070e-01,1.592444681796505890e+00,1.827659610376501098e-01,2.953314516539302303e+02,7.093047409903275868e-01,7.846607893100255443e-03
2.266400557266968097e+00,9.267676402602728070e-01,1.592444681796505890e+00,1.827659610376501098e-01,2.953314516539302303e+02,7.093047409903275868e-01,7.846607893100255443e-03
2.884103784212595389e+00,7.271210287954340545e-01,2.188552764124938932e+00,2.888549485870205435e-01,3.211079483293779049e+02,6.923305559950174715e-01,5.447169879142447178e-03
2.884103784212595389e+00,7.271210287954340545e-01,2.188552764124938932e+00,2.888549485870205435e-01,3.211079483293779049e+02,6.923305559950174715e-01,5.447169879142447178e-03
2.884103784212595389e+00,7.271210287954340545e-01,2.188552764124938932e+00,2.888549485870205435e-01,3.211079483293779049e+02,6.923305559950174715e-01,5.447169879142447178e-03
2.884103784212595389e+00,7.271210287954340545e-01,2.188552764124938932e+00,2.888549485870205435e-01,3.211079483293779049e+02,6.923305559950174715e-01,5.447169879142447178e-03
2.884103784212595389e+00,7.271210287954340545e-01,2.188552764124938932e+00,2.888549485870205435e-01,3.211079483293779049e+02,6.923305559950174715e-01,5.447169879142447178e-03
2.899399158953140709e+00,6.464020408547056507e-01,2.308681625753326028e+00,4.256698565087077557e-01,2.865683352916070135e+02,4.258726109907208790e-01,1.507493684889319938e-02
2.985515262021110949e+00,2.328558676805202232e+00,2.802203718251821130e+00,2.993204702129013683e-01,1.631462331677264217e+02,4.750216033347575695e-01,9.341198627937585819e-03
2.985515262021110949e+00,2.328558676805202232e+00,2.802203718251821130e+00,2.993204702129013683e-01,1.631462331677264217e+02,4.750216033347575695e-01,9.341198627937585819e-03
2.103034991181686131e+00,3.859101318731100960e+00,2.713425992423426525e+00,3.161593805842822791e-01,1.704933895096918093e+02,4.314094354080373894e-01,1.085180213799948230e-02
3.090284344152878226e+00,4.061759812062889274e+00,2.308089877559328151e+00,2.561379601301634890e-01,1.527349257786261489e+02,4.672611739017905608e-01,4.975077621810486406e-03
3.090284344152878226e+00,4.061759812062889274e+00,2.308089877559328151e+00,2.561379601301634890e-01,1.527349257786261489e+02,4.672611739017905608e-01,4.975077621810486406e-03
3.090284344152878226e+00,4.061759812062889274e+00,2.308089877559328151e+00,2.561379601301634890e-01,1.527349257786261489e+02,4.672611739017905608e-01,4.975077621810486406e-03
1.943359714134725635e+00,3.923883429842653481e+00,2.527929722361240916e+00,1.880087632128098762e-01,9.058992361276790461e+01,4.627715403574277908e-01,5.137732805139647550e-03
6.023606868514507218e-01,4.766646012643393604e+00,2.185412566268055468e+00,6.434794336746260668e-02,1.206276464322261432e+02,6.618966758013254958e-01,1.027626154304241667e-02
-1.434710927179478457e+00,5.251438403293044566e+00,2.089092863214926599e+00,2.561235351218792838e-02,1.429181658149237535e+02,5.198064433224022229e-01,5.651368722571993054e-03
-1.604310570208068665e+00,4.194083468864645781e+00,2.184324898261186920e+00,1.211187413463788859e-01,1.256103003573856256e+02,5.326702099787025135e-01,9.619049362157778768e-03
-1.604310570208068665e+00,4.194083468864645781e+00,2.184324898261186920e+00,1.211187413463788859e-01,1.256103003573856256e+02,5.326702099787025135e-01,9.619049362157778768e-03
-1.166970385524910947e+00,4.012500979356273589e+00,2.111843385804301310e+00,4.898910838555004532e-01,6.240792960821515578e+01,6.466302898966256318e-01,1.896984367329338991e-02
-1.166970385524910947e+00,4.012500979356273589e+00,2.111843385804301310e+00,4.898910838555004532e-01,6.240792960821515578e+01,6.466302898966256318e-01,1.896984367329338991e-02
-1.166970385524910947e+00,4.012500979356273589e+00,2.111843385804301310e+00,4.898910838555004532e-01,6.240792960821515578e+01,6.466302898966256318e-01,1.896984367329338991e-02
-1.166970385524910947e+00,4.012500979356273589e+00,2.111843385804301310e+00,4.898910838555004532e-01,6.240792960821515578e+01,6.466302898966256318e-01,1.896984367329338991e-02
-1.166970385524910947e+00,4.012500979356273589e+00,2.111843385804301310e+00,4.898910838555004532e-01,6.240792960821515578e+01,6.466302898966256318e-01,1.896984367329338991e-02
-1.166970385524910947e+00,4.012500979356273589e+00,2.111843385804301310e+00,4.898910838555004532e-01,6.240792960821515578e+01,6.466302898966256318e-01,1.896984367329338991e-02
-1.166970385524910947e+00,4.012500979356273589e+00,2.111843385804301310e+00,4.898910838555004532e-01,6.240792960821515578e+01,6.466302898966256318e-01,1.896984367329338991e-02
-6.349187524164860985e-01,3.164386014455629503e+00,2.642019954458895370e+00,3.720917659835174529e-01,1.817658676185626518e+02,4.750131800276100602e-01,1.200671916534170984e-02
-6.349187524164860985e-01,3.164386014455629503e+00,2.642019954458895370e+00,3.720917659835174529e-01,1.817658676185626518e+02,4.750131800276100602e-01,1.200671916534170984e-02
-3.002606653615954579e-01,3.875136846939924773e+00,2.545953548499797492e+00,5.121137958187066408e-01,1.673095645369265299e+02,4.535320676868660472e-01,2.069076038356287145e-02
1.246632661854888635e+00,6.408777977833755024e+00,2.713357787091286166e+00,4.489182310797662501e-01,1.838348465431855630e+02,4.185475032830868747e-01,3.209084187250166829e-03
1.246632661854888635e+00,6.408777977833755024e+00,2.713357787091286166e+00,4.489182310797662501e-01,1.838348465431855630e+02,4.185475032830868747e-01,3.209084187250166829e-03
3.189435995125006418e+00,5.222991083601441709e+00,2.228888695598693293e+00,6.071185450436360487e-01,2.185096533172098532e+02,7.998563848739717042e-01,9.979478917487877732e-04
3.189435995125006418e+00,5.222991083601441709e+00,2.228888695598693293e+00,6.071185450436360487e-01,2.185096533172098532e+02,7.998563848739717042e-01,9.979478917487877732e-04
3.748560558248109409e+00,5.917452861233940986e+00,2.114115665993851145e+00,2.331298986305526399e-01,1.872603983064555848e+02,6.712608008516159908e-01,2.086756842898541812e-04
3.748560558248109409e+00,5.917452861233940986e+00,2.114115665993851145e+00,2.331298986305526399e-01,1.872603983064555848e+02,6.712608008516159908e-01,2.086756842898541812e-04
3.748560558248109409e+00,5.917452861233940986e+00,2.114115665993851145e+00,2.331298986305526399e-01,1.872603983064555848e+02,6.712608008516159908e-01,2.086756842898541812e-04
3.748560558248109409e+00,5.917452861233940986e+00,2.114115665993851145e+00,2.331298986305526399e-01,1.872603983064555848e+02,6.712608008516159908e-01,2.086756842898541812e-04
3.748560558248109409e+00,5.917452861233940986e+00,2.114115665993851145e+00,2.331298986305526399e-01,1.872603983064555848e+02,6.712608008516159908e-01,2.086756842898541812e-04
3.748560558248109409e+00,5.917452861233940986e+00,2.114115665993851145e+00,2.331298986305526399e-01,1.872603983064555848e+02,6.712608008516159908e-01,2.086756842898541812e-04
3.748560558248109409e+00,5.917452861233940986e+00,2.114115665993851145e+00,2.331298986305526399e-01,1.872603983064555848e+02,6.712608008516159908e-01,2.086756842898541812e-04
3.748560558248109409e+00,5.917452861233940986e+00,2.114115665993851145e+00,2.331298986305526399e-01,1.872603983064555848e+02,6.712608008516159908e-01,2.086756842898541812e-04
3.748560558248109409e+00,5.917452861233940986e+00,2.114115665993851145e+00,2.331298986305526399e-01,1.872603983064555848e+02,6.712608008516159908e-01,2.086756842898541812e-04
3.748560558248109409e+00,5.917452861233940986e+00,2.114115665993851145e+00,2.331298986305526399e-01,1.872603983064555848e+02,6.712608008516159908e-01,2.086756842898541812e-04
3.748560558248109409e+00,5.917452861233940986e+00,2.114115665993851145e+00,2.331298986305526399e-01,1.872603983064555848e+02,6.712608008516159908e-01,2.086756842898541812e-04
3.748560558248109409e+00,5.917452861233940986e+00,2.114115665993851145e+00,2.331298986305526399e-01,1.872603983064555848e+02,6.712608008516159908e-01,2.086756842898541812e-04
3.748560558248109409e+00,5.917452861233940986e+00,2.114115665993851145e+00,2.331298986305526399e-01,1.872603983064555848e+02,6.712608008516159908e-01,2.086756842898541812e-04
3.748560558248109409e+00,5.917452861233940986e+00,2.114115665993851145e+00,2.331298986305526399e-01,1.872603983064555848e+02,6.712608008516159908e-01,2.086756842898541812e-04
3.460326416640693292e+00,8.383732022671281925e+00,2.060196031488959356e+00,3.020464335452761606e-01,1.405227347971683400e+02,7.115858908169280239e-01,6.298704714423076709e-03
3.673376118494060094e+00,6.749748670122893479e+00,2.887584058491694528e+00,1.696424707642291974e-01,1.864929774858865983e+02,7.244111503942368691e-01,1.401865477602121622e-02
2.244880249135819739e+00,6.055909387324581061e+00,2.564672584348882012e+00,2.739637799815122232e-01,1.276550409458167366e+02,7.066478570874753506e-01,8.551806745418857186e-03
2.244880249135819739e+00,6.055909387324581061e+00,2.564672584348882012e+00,2.739637799815122232e-01,1.276550409458167366e+02,7.066478570874753506e-01,8.551806745418857186e-03
1.666939552486239817e+00,5.233994539549655656e+00,2.486354076552822701e+00,1.848178486352482497e-01,1.501509051373516854e+02,6.337002270123468506e-01,8.513941617274808221e-03
1.666939552486239817e+00,5.233994539549655656e+00,2.486354076552822701e+00,1.848178486352482497e-01,1.501509051373516854e+02,6.337002270123468506e-01,8.513941617274808221e-03
1.666939552486239817e+00,5.233994539549655656e+00,2.486354076552822701e+00,1.848178486352482497e-01,1.501509051373516854e+02,6.337002270123468506e-01,8.513941617274808221e-03
1.666939552486239817e+00,5.233994539549655656e+00,2.486354076552822701e+00,1.848178486352482497e-01,1.501509051373516854e+02,6.337002270123468506e-01,8.513941617274808221e-03
1.342695232553191786e+00,6.805716218271568252e+00,2.701433434399645783e+00,2.347365643679947267e-01,1.612948012451846864e+02,7.564725959381408682e-01,1.450253902887328056e-02
1.342695232553191786e+00,6.805716218271568252e+00,2.701433434399645783e+00,2.347365643679947267e-01,1.612948012451846864e+02,7.564725959381408682e-01,1.450253902887328056e-02
2.726259883427553987e+00,5.275288953431000571e+00,2.919928847269502636e+00,1.952066894395363128e-01,1.830368503401032285e+02,6.059991155519149908e-01,1.088975791527223465e-02
2.726259883427553987e+00,5.275288953431000571e+00,2.919928847269502636e+00,1.952066894395363128e-01,1.830368503401032285e+02,6.059991155519149908e-01,1.088975791527223465e-02
2.351380992073319742e+00,5.637783090959549881e+00,2.620118526793977054e+00,1.911836731667187483e-01,1.293962649822676383e+02,3.751254356672831247e-01,1.256624239458139017e-02
2.351380992073319742e+00,5.637783090959549881e+00,2.620118526793977054e+00,1.911836731667187483e-01,1.293962649822676383e+02,3.751254356672831247e-01,1.256624239458139017e-02
1.170780001766857925e+00,5.720034853034044353e+00,2.571580805767989641e+00,2.713130731619901037e-01,1.041365940584544916e+02,2.935656368138297445e-01,1.780040299513684435e-02
1.170780001766857925e+00,5.720034853034044353e+00,2.571580805767989641e+00,2.713130731619901037e-01,1.041365940584544916e+02,2.935656368138297445e-01,1.780040299513684435e-02
1.508408692976378918e+00,7.151348589826632463e+00,2.814257237793035493e+00,2.286309038785576953e-01,1.874176419090664183e+02,4.240393848194500270e-01,9.245381505871744232e-03
9.219337836264637764e-02,5.749262858989122371e+00,2.220172486259045730e+00,1.622868312989904915e-01,1.628008707654227294e+02,2.108235839434674519e-01,5.822312326763697107e-04
9.219337836264637764e-02,5.749262858989122371e+00,2.220172486259045730e+00,1.622868312989904915e-01,1.628008707654227294e+02,2.108235839434674519e-01,5.822312326763697107e-04
2.526762171771776089e+00,4.807794522907379964e+00,2.171038053745586449e+00,3.155416919440395263e-01,1.063319541349806343e+02,3.077147325592610727e-01,1.376822031921421654e-03
2.526762171771776089e+00,4.807794522907379964e+00,2.171038053745586449e+00,3.155416919440395263e-01,1.063319541349806343e+02,3.077147325592610727e-01,1.376822031921421654e-03
2.526762171771776089e+00,4.807794522907379964e+00,2.171038053745586449e+00,3.155416919440395263e-01,1.063319541349806343e+02,3.077147325592610727e-01,1.376822031921421654e-03
1.907375684632944379e+00,1.144618821273621245e+00,2.698942456715096583e+00,3.059044687249888317e-01,1.093256889176715987e+02,5.435261305572377522e-01,6.097081991915592053e-03
1.907375684632944379e+00,1.144618821273621245e+00,2.698942456715096583e+00,3.059044687249888317e-01,1.093256889176715987e+02,5.435261305572377522e-01,6.097081991915592053e-03
2.219260635944440896e+00,1.041381292940337877e+00,2.556579442047722139e+00,3.158588782183249788e-01,6.186464081017717120e+01,5.067931047752138873e-01,1.345357592401424419e-02
2.219260635944440896e+00,1.041381292940337877e+00,2.556579442047722139e+00,3.158588782183249788e-01,6.186464081017717120e+01,5.067931047752138873e-01,1.345357592401424419e-02
2.219260635944440896e+00,1.041381292940337877e+00,2.556579442047722139e+00,3.158588782183249788e-01,6.186464081017717120e+01,5.067931047752138873e-01,1.345357592401424419e-02
2.219260635944440896e+00,1.041381292940337877e+00,2.556579442047722139e+00,3.158588782183249788e-01,6.186464081017717120e+01,5.067931047752138873e-01,1.345357592401424419e-02
2.219260635944440896e+00,1.041381292940337877e+00,2.556579442047722139e+00,3.158588782183249788e-01,6.186464081017717120e+01,5.067931047752138873e-01,1.345357592401424419e-02
2.219260635944440896e+00,1.041381292940337877e+00,2.556579442047722139e+00,3.158588782183249788e-01,6.186464081017717120e+01,5.067931047752138873e-01,1.345357592401424419e-02
7.896536998715337763e-01,6.741195164668790651e-01,2.531068182095687291e+00,3.289624569194088410e-01,1.628843378750656541e+02,7.055208504718623042e-01,2.687724138898352905e-02
1.984284163687303204e-01,1.106571591539819766e+00,2.119965980261929950e+00,8.456114960874928643e-01,3.723433157039352750e+02,4.796448860716106544e-01,1.678210880337623404e-02
1.984284163687303204e-01,1.106571591539819766e+00,2.119965980261929950e+00,8.456114960874928643e-01,3.723433157039352750e+02,4.796448860716106544e-01,1.678210880337623404e-02
-6.507935370048054669e-01,1.693298524842004493e+00,2.360858657800991800e+00,7.456108077834906478e-01,3.880511962729221977e+02,3.591907299879960047e-01,1.238243028725683446e-02
-2.079033879703489518e+00,3.303117430255821940e+00,2.763214999310026343e+00,4.269975462178387526e-01,4.288836162073240530e+02,2.263060247189895013e-01,1.919039405505064411e-02
-2.079033879703489518e+00,3.303117430255821940e+00,2.763214999310026343e+00,4.269975462178387526e-01,4.288836162073240530e+02,2.263060247189895013e-01,1.919039405505064411e-02
-2.009782525532060049e+00,3.931714595986087524e+00,2.936462733590976537e+00,6.862163221481101250e-01,4.358433333762939696e+02,1.290205907581982725e-01,1.610615266471000784e-02
-2.009782525532060049e+00,3.931714595986087524e+00,2.936462733590976537e+00,6.862163221481101250e-01,4.358433333762939696e+02,1.290205907581982725e-01,1.610615266471000784e-02
-2.009782525532060049e+00,3.931714595986087524e+00,2.936462733590976537e+00,6.862163221481101250e-01,4.358433333762939696e+02,1.290205907581982725e-01,1.610615266471000784e-02
-2.009782525532060049e+00,3.931714595986087524e+00,2.936462733590976537e+00,6.862163221481101250e-01,4.358433333762939696e+02,1.290205907581982725e-01,1.610615266471000784e-02
-2.009782525532060049e+00,3.931714595986087524e+00,2.936462733590976537e+00,6.862163221481101250e-01,4.358433333762939696e+02,1.290205907581982725e-01,1.610615266471000784e-02
-2.009782525532060049e+00,3.931714595986087524e+00,2.936462733590976537e+00,6.862163221481101250e-01,4.358433333762939696e+02,1.290205907581982725e-01,1.610615266471000784e-02
-2.009782525532060049e+00,3.931714595986087524e+00,2.936462733590976537e+00,6.862163221481101250e-01,4.358433333762939696e+02,1.290205907581982725e-01,1.610615266471000784e-02
-2.009782525532060049e+00,3.931714595986087524e+00,2.936462733590976537e+00,6.862163221481101250e-01,4.358433333762939696e+02,1.290205907581982725e-01,1.610615266471000784e-02
-2.009782525532060049e+00,3.931714595986087524e+00,2.936462733590976537e+00,6.862163221481101250e-01,4.358433333762939696e+02,1.290205907581982725e-01,1.610615266471000784e-02
-2.009782525532060049e+00,3.931714595986087524e+00,2.936462733590976537e+00,6.862163221481101250e-01,4.358433333762939696e+02,1.290205907581982725e-01,1.610615266471000784e-02
-2.009782525532060049e+00,3.931714595986087524e+00,2.936462733590976537e+00,6.862163221481101250e-01,4.358433333762939696e+02,1.290205907581982725e-01,1.610615266471000784e-02
-1.963033812408608192e+00,5.619905105070339246e+00,2.543609414979739913e+00,6.620446520456926276e-01,4.345815016830935633e+02,2.305653502589847526e-01,1.488788887408645789e-02
-3.759712138618847455e+00,5.844337538462732518e+00,2.720347465460631220e+00,6.136924050544894094e-01,4.804410619496529762e+02,3.052056294952710247e-01,1.856803284581677593e-02
-3.759712138618847455e+00,5.844337538462732518e+00,2.720347465460631220e+00,6.136924050544894094e-01,4.804410619496529762e+02,3.052056294952710247e-01,1.856803284581677593e-02
-3.759712138618847455e+00,5.844337538462732518e+00,2.720347465460631220e+00,6.136924050544894094e-01,4.804410619496529762e+02,3.052056294952710247e-01,1.856803284581677593e-02
-3.759712138618847455e+00,5.844337538462732518e+00,2.720347465460631220e+00,6.136924050544894094e-01,4.804410619496529762e+02,3.052056294952710247e-01,1.856803284581677593e-02
-1.719297217936345046e+00,5.902912709748122211e+00,2.589502544602052758e+00,9.395754566665601715e-01,4.592619939997183565e+02,2.665404153031956658e-01,4.429108670686399823e-03
-1.719297217936345046e+00,5.902912709748122211e+00,2.589502544602052758e+00,9.395754566665601715e-01,4.592619939997183565e+02,2.665404153031956658e-01,4.429108670686399823e-03
-1.719297217936345046e+00,5.902912709748122211e+00,2.589502544602052758e+00,9.395754566665601715e-01,4.592619939997183565e+02,2.665404153031956658e-01,4.429108670686399823e-03
-1.719297217936345046e+00,5.902912709748122211e+00,2.589502544602052758e+00,9.395754566665601715e-01,4.592619939997183565e+02,2.665404153031956658e-01,4.429108670686399823e-03
-1.719297217936345046e+00,5.902912709748122211e+00,2.589502544602052758e+00,9.395754566665601715e-01,4.592619939997183565e+02,2.665404153031956658e-01,4.429108670686399823e-03
-6.561283369515018560e-01,5.046815940857250382e+00,2.509627473423965860e+00,6.711766061917188164e-01,4.190198305136750605e+02,1.020760327420410785e-01,1.682447061742421701e-02
-6.561283369515018560e-01,5.046815940857250382e+00,2.509627473423965860e+00,6.711766061917188164e-01,4.190198305136750605e+02,1.020760327420410785e-01,1.682447061742421701e-02
-6.561283369515018560e-01,5.046815940857250382e+00,2.509627473423965860e+00,6.711766061917188164e-01,4.190198305136750605e+02,1.020760327420410785e-01,1.682447061742421701e-02
-6.561283369515018560e-01,5.046815940857250382e+00,2.509627473423965860e+00,6.711766061917188164e-01,4.190198305136750605e+02,1.020760327420410785e-01,1.682447061742421701e-02
-6.561283369515018560e-01,5.046815940857250382e+00,2.509627473423965860e+00,6.711766061917188164e-01,4.190198305136750605e+02,1.020760327420410785e-01,1.682447061742421701e-02
-6.561283369515018560e-01,5.046815940857250382e+00,2.509627473423965860e+00,6.711766061917188164e-01,4.190198305136750605e+02,1.020760327420410785e-01,1.682447061742421701e-02
-1.088284449734880033e+00,7.607782039955078623e+00,1.835705222173352968e+00,7.434605507512173084e-01,2.387878389060789175e+02,3.136496611413456259e-01,1.348806370231292288e-02
-1.088284449734880033e+00,7.607782039955078623e+00,1.835705222173352968e+00,7.434605507512173084e-01,2.387878389060789175e+02,3.136496611413456259e-01,1.348806370231292288e-02
-8.300790179667009161e-01,6.735380479999879100e+00,2.041677869749291219e+00,5.440056981878992337e-01,2.278883483605823699e+02,3.499815660659837402e-01,2.261249988929679364e-03
-2.813233844314285137e-01,6.249723283357944581e+00,2.014755417235198465e+00,3.390942418823115756e-01,2.668598379186306033e+02,2.627413488517137408e-01,8.975787230835989908e-03
-1.937815991426514950e+00,7.523157107777700858e+00,2.131747563418577407e+00,1.950158274989897689e-01,2.416656745413485226e+02,2.958601108454633200e-01,1.037548061308031164e-02
-1.937815991426514950e+00,7.523157107777700858e+00,2.131747563418577407e+00,1.950158274989897689e-01,2.416656745413485226e+02,2.958601108454633200e-01,1.037548061308031164e-02
-1.937815991426514950e+00,7.523157107777700858e+00,2.131747563418577407e+00,1.950158274989897689e-01,2.416656745413485226e+02,2.958601108454633200e-01,1.037548061308031164e-02
-1.521892607865877212e+00,9.638646045091791237e+00,2.229355215436300330e+00,1.494637985717504614e-01,2.646259271250284542e+02,2.877766008483934046e-01,6.638453861604757048e-03
-1.521892607865877212e+00,9.638646045091791237e+00,2.229355215436300330e+00,1.494637985717504614e-01,2.646259271250284542e+02,2.877766008483934046e-01,6.638453861604757048e-03
-1.621210648627779305e+00,9.469776027009761066e+00,2.105120499536189183e+00,7.763672775767802015e-02,3.430194342174590361e+02,2.641593757016566513e-01,1.879508851228197525e-02
-1.621210648627779305e+00,9.469776027009761066e+00,2.105120499536189183e+00,7.763672775767802015e-02,3.430194342174590361e+02,2.641593757016566513e-01,1.879508851228197525e-02
-1.621210648627779305e+00,9.469776027009761066e+00,2.105120499536189183e+00,7.763672775767802015e-02,3.430194342174590361e+02,2.641593757016566513e-01,1.879508851228197525e-02
-3.718319272252244012e+00,8.946435044556396932e+00,2.261850343618606374e+00,3.754509425835110270e-01,4.110713356847504656e+02,3.842818737400104934e-01,1.611447618694643313e-02
-3.718319272252244012e+00,8.946435044556396932e+00,2.261850343618606374e+00,3.754509425835110270e-01,4.110713356847504656e+02,3.842818737400104934e-01,1.611447618694643313e-02
-3.718319272252244012e+00,8.946435044556396932e+00,2.261850343618606374e+00,3.754509425835110270e-01,4.110713356847504656e+02,3.842818737400104934e-01,1.611447618694643313e-02
-3.142524542163612988e+00,9.675772548537953099e+00,2.346692374373663625e+00,6.420437910724412500e-01,4.681103129722025074e+02,3.696526829123409352e-01,4.937468399697158596e-03
-3.142524542163612988e+00,9.675772548537953099e+00,2.346692374373663625e+00,6.420437910724412500e-01,4.681103129722025074e+02,3.696526829123409352e-01,4.937468399697158596e-03
